,action_1_error,action_2_error,state_error
0,0.009447195896482576,0.023203556858545683,0.026878498577591097
1,0.011393219163114355,0.036781080386640685,0.038093430902237255
2,0.009709460670736615,0.017482522248269593,0.01971487837132795
3,0.007944929910490504,0.015158099112268014,0.01984260389800833
4,0.008449950528523322,0.05201801159878734,0.05571916998668954
5,0.023504509324062305,0.04610351665504346,0.03917305160840411
6,0.039170273375505986,0.03148306428954572,0.007088216940016377
7,0.03027104862507608,0.03440244687757432,0.021098471132314476
8,0.02688064679541104,0.04682603362920393,0.0350052466981678
9,0.02040431372366906,0.057159170526131294,0.041413212771607866
